<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,D,20200928,000000,1.2763000,1.2930000,1.2750000,1.2873000,1452844
GBPUSD,D,20200929,000000,1.2874000,1.2903000,1.2822000,1.2864000,1543252
GBPUSD,D,20200930,000000,1.2865000,1.2943000,1.2804000,1.2916000,1818365
GBPUSD,D,20201001,000000,1.2916000,1.2979000,1.2818000,1.2886000,1912477
GBPUSD,D,20201002,000000,1.2885000,1.2954000,1.2835000,1.2931000,1902694
GBPUSD,D,20201004,000000,1.2933000,1.2937000,1.2911000,1.2928000,59765
GBPUSD,D,20201005,000000,1.2929000,1.2994000,1.2898000,1.2992000,1695844
GBPUSD,D,20201006,000000,1.2993000,1.3007000,1.2864000,1.2884000,2203854
GBPUSD,D,20201007,000000,1.2884000,1.2930000,1.2844000,1.2915000,2037373
GBPUSD,D,20201008,000000,1.2916000,1.2970000,1.2889000,1.2938000,1682900
GBPUSD,D,20201009,000000,1.2939000,1.3049000,1.2920000,1.3046000,1573964
GBPUSD,D,20201011,000000,1.3023000,1.3038000,1.3021000,1.3030000,60031
GBPUSD,D,20201012,000000,1.3030000,1.3083000,1.3003000,1.3064000,1446186
GBPUSD,D,20201013,000000,1.3064000,1.3068000,1.2920000,1.2933000,1666662
GBPUSD,D,20201014,000000,1.2934000,1.3064000,1.2862000,1.3011000,2002303
GBPUSD,D,20201015,000000,1.3012000,1.3030000,1.2889000,1.2902000,2067094
GBPUSD,D,20201016,000000,1.2903000,1.2962000,1.2861000,1.2913000,1957403
GBPUSD,D,20201018,000000,1.2902000,1.2928000,1.2893000,1.2925000,73011
GBPUSD,D,20201019,000000,1.2925000,1.3025000,1.2921000,1.2947000,1824699
GBPUSD,D,20201020,000000,1.2947000,1.2980000,1.2909000,1.2955000,1795475
GBPUSD,D,20201021,000000,1.2956000,1.3177000,1.2952000,1.3128000,1968278
GBPUSD,D,20201022,000000,1.3129000,1.3150000,1.3069000,1.3077000,1802909
GBPUSD,D,20201023,000000,1.3078000,1.3123000,1.3017000,1.3040000,1669750
GBPUSD,D,20201025,000000,1.3048000,1.3062000,1.3039000,1.3053000,98083
GBPUSD,D,20201026,000000,1.3053000,1.3075000,1.2991000,1.3015000,1476893
GBPUSD,D,20201027,000000,1.3014000,1.3080000,1.2999000,1.3029000,1333339
GBPUSD,D,20201028,000000,1.3030000,1.3064000,1.2915000,1.2988000,1799478
GBPUSD,D,20201029,000000,1.2989000,1.3025000,1.2879000,1.2931000,1871473
GBPUSD,D,20201030,000000,1.2931000,1.2988000,1.2897000,1.2950000,1795862
GBPUSD,D,20201101,000000,1.2943000,1.2944000,1.2912000,1.2926000,46683
GBPUSD,D,20201102,000000,1.2925000,1.2943000,1.2852000,1.2921000,1399446
GBPUSD,D,20201103,000000,1.2922000,1.3131000,1.2913000,1.3119000,1383948
GBPUSD,D,20201104,000000,1.3118000,1.3140000,1.2913000,1.2965000,2780186
GBPUSD,D,20201105,000000,1.2966000,1.3157000,1.2936000,1.3138000,2166976
GBPUSD,D,20201106,000000,1.3138000,1.3177000,1.3092000,1.3148000,2011143
GBPUSD,D,20201108,000000,1.3161000,1.3182000,1.3146000,1.3179000,91865
GBPUSD,D,20201109,000000,1.3180000,1.3208000,1.3117000,1.3169000,1996110
GBPUSD,D,20201110,000000,1.3169000,1.3278000,1.3155000,1.3261000,2227827
GBPUSD,D,20201111,000000,1.3260000,1.3313000,1.3189000,1.3222000,1739982
GBPUSD,D,20201112,000000,1.3223000,1.3228000,1.3104000,1.3120000,1765330
GBPUSD,D,20201113,000000,1.3121000,1.3200000,1.3108000,1.3198000,1420435
GBPUSD,D,20201115,000000,1.3175000,1.3224000,1.3165000,1.3220000,45413
GBPUSD,D,20201116,000000,1.3220000,1.3243000,1.3164000,1.3222000,1783703
GBPUSD,D,20201117,000000,1.3222000,1.3273000,1.3191000,1.3257000,1705654
GBPUSD,D,20201118,000000,1.3256000,1.3312000,1.3242000,1.3251000,1382605
GBPUSD,D,20201119,000000,1.3250000,1.3279000,1.3195000,1.3246000,1897469
GBPUSD,D,20201120,000000,1.3247000,1.3298000,1.3246000,1.3282000,1560885
GBPUSD,D,20201122,000000,1.3287000,1.3308000,1.3276000,1.3302000,52532
GBPUSD,D,20201123,000000,1.3302000,1.3398000,1.3262000,1.3325000,1786678
GBPUSD,D,20201124,000000,1.3326000,1.3381000,1.3291000,1.3361000,1899854
GBPUSD,D,20201125,000000,1.3361000,1.3394000,1.3302000,1.3383000,1938773
GBPUSD,D,20201126,000000,1.3383000,1.3398000,1.3320000,1.3353000,1196166
GBPUSD,D,20201127,000000,1.3353000,1.3382000,1.3284000,1.3314000,1469272
GBPUSD,D,20201129,000000,1.3320000,1.3335000,1.3309000,1.3331000,53697
GBPUSD,D,20201130,000000,1.3332000,1.3386000,1.3303000,1.3335000,2057045
GBPUSD,D,20201201,000000,1.3335000,1.3442000,1.3314000,1.3421000,2011600
GBPUSD,D,20201202,000000,1.3422000,1.3441000,1.3286000,1.3367000,2128293
GBPUSD,D,20201203,000000,1.3367000,1.3500000,1.3351000,1.3451000,1866361
GBPUSD,D,20201204,000000,1.3450000,1.3539000,1.3409000,1.3437000,1927035
GBPUSD,D,20201206,000000,1.3364000,1.3422000,1.3358000,1.3414000,78604
GBPUSD,D,20201207,000000,1.3414000,1.3438000,1.3223000,1.3355000,2059751
GBPUSD,D,20201208,000000,1.3355000,1.3394000,1.3288000,1.3364000,1970371
GBPUSD,D,20201209,000000,1.3365000,1.3478000,1.3315000,1.3365000,1672899
GBPUSD,D,20201210,000000,1.3366000,1.3390000,1.3244000,1.3301000,1911938
GBPUSD,D,20201211,000000,1.3301000,1.3325000,1.3132000,1.3230000,1740875
GBPUSD,D,20201213,000000,1.3354000,1.3372000,1.3313000,1.3314000,82061
GBPUSD,D,20201214,000000,1.3316000,1.3446000,1.3288000,1.3325000,1732033
GBPUSD,D,20201215,000000,1.3326000,1.3470000,1.3278000,1.3446000,1932878
GBPUSD,D,20201216,000000,1.3447000,1.3554000,1.3432000,1.3501000,1823332
GBPUSD,D,20201217,000000,1.3502000,1.3625000,1.3493000,1.3569000,1648695
GBPUSD,D,20201218,000000,1.3568000,1.3573000,1.3470000,1.3515000,1583725
GBPUSD,D,20201220,000000,1.3509000,1.3509000,1.3393000,1.3400000,81586
GBPUSD,D,20201221,000000,1.3401000,1.3500000,1.3186000,1.3446000,2073951
GBPUSD,D,20201222,000000,1.3447000,1.3457000,1.3302000,1.3400000,2055431
GBPUSD,D,20201223,000000,1.3401000,1.3571000,1.3369000,1.3511000,2051420
GBPUSD,D,20201224,000000,1.3512000,1.3619000,1.3500000,1.3556000,1375230
GBPUSD,D,20201225,000000,1.3550000,1.3587000,1.3538000,1.3548000,1563
GBPUSD,D,20201227,000000,1.3545000,1.3572000,1.3540000,1.3568000,42182
GBPUSD,D,20201228,000000,1.3570000,1.3576000,1.3426000,1.3464000,1605220
GBPUSD,D,20201229,000000,1.3464000,1.3523000,1.3457000,1.3497000,1765211
GBPUSD,D,20201230,000000,1.3497000,1.3630000,1.3490000,1.3629000,1864540
GBPUSD,D,20201231,000000,1.3629000,1.3686000,1.3601000,1.3674000,1676544
GBPUSD,D,20210101,000000,1.3674000,1.3674000,1.3671000,1.3671000,1256
