<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20171024,000000,0.7806100,0.7824800,0.7768000,0.7775400,1057942
AUDUSD,D,20171025,000000,0.7773600,0.7784000,0.7687000,0.7702000,1199159
AUDUSD,D,20171026,000000,0.7702300,0.7719800,0.7653000,0.7659400,1119400
AUDUSD,D,20171027,000000,0.7659300,0.7678400,0.7622000,0.7676200,1172351
AUDUSD,D,20171028,000000,0.7673700,0.7673700,0.7673700,0.7673700,1
AUDUSD,D,20171029,000000,0.7676200,0.7677000,0.7666700,0.7675000,528
AUDUSD,D,20171030,000000,0.7675800,0.7691300,0.7653000,0.7687900,963065
AUDUSD,D,20171031,000000,0.7687800,0.7699100,0.7637000,0.7655900,965932
AUDUSD,D,20171101,000000,0.7656000,0.7695900,0.7645000,0.7675100,1175543
AUDUSD,D,20171102,000000,0.7672700,0.7729800,0.7670000,0.7712400,1142629
AUDUSD,D,20171103,000000,0.7712000,0.7716200,0.7636000,0.7646100,968122
AUDUSD,D,20171104,000000,0.7648000,0.7651000,0.7646700,0.7650000,69
AUDUSD,D,20171105,000000,0.7649300,0.7658100,0.7649000,0.7650000,362
AUDUSD,D,20171106,000000,0.7652300,0.7689100,0.7636000,0.7686800,856841
AUDUSD,D,20171107,000000,0.7687100,0.7700600,0.7624000,0.7643800,924678
AUDUSD,D,20171108,000000,0.7643800,0.7685000,0.7633000,0.7675300,835172
AUDUSD,D,20171109,000000,0.7676100,0.7694000,0.7646000,0.7681400,1023707
