<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20170423,000000,0.7551000,0.7591000,0.7547700,0.7584700,1836
AUDUSD,D,20170424,000000,0.7584300,0.7586100,0.7536000,0.7568500,1137856
AUDUSD,D,20170425,000000,0.7568000,0.7572000,0.7515000,0.7534500,1034600
AUDUSD,D,20170426,000000,0.7534700,0.7555800,0.7450000,0.7471400,1173815
AUDUSD,D,20170427,000000,0.7472900,0.7492300,0.7435000,0.7463600,1140417
AUDUSD,D,20170428,000000,0.7461600,0.7491000,0.7443000,0.7484800,1170710
AUDUSD,D,20170429,000000,0.7485000,0.7486500,0.7483600,0.7486500,10
AUDUSD,D,20170430,000000,0.7475000,0.7478000,0.7463000,0.7466800,596
AUDUSD,D,20170501,000000,0.7467100,0.7540300,0.7466400,0.7524900,857661
AUDUSD,D,20170502,000000,0.7525300,0.7556100,0.7506000,0.7534300,1068801
AUDUSD,D,20170503,000000,0.7534900,0.7546000,0.7415000,0.7422100,1172899
AUDUSD,D,20170504,000000,0.7419500,0.7430500,0.7378000,0.7408700,1275715
AUDUSD,D,20170505,000000,0.7408500,0.7426400,0.7363000,0.7415700,1321406
AUDUSD,D,20170507,000000,0.7414800,0.7416000,0.7404800,0.7407500,1062
AUDUSD,D,20170508,000000,0.7416100,0.7424800,0.7373000,0.7385900,1225361
AUDUSD,D,20170509,000000,0.7385800,0.7398300,0.7325000,0.7342700,1344248
AUDUSD,D,20170510,000000,0.7343400,0.7394600,0.7334000,0.7363600,1347333
AUDUSD,D,20170511,000000,0.7364500,0.7383400,0.7331000,0.7377300,1369600
AUDUSD,D,20170512,000000,0.7378000,0.7421000,0.7364000,0.7384000,1248533
AUDUSD,D,20170513,000000,0.7384000,0.7384300,0.7379100,0.7384300,34
AUDUSD,D,20170514,000000,0.7385000,0.7395300,0.7381600,0.7388600,969
AUDUSD,D,20170515,000000,0.7388900,0.7446000,0.7382000,0.7411700,1182278
AUDUSD,D,20170516,000000,0.7410100,0.7438200,0.7391000,0.7425500,1298612
AUDUSD,D,20170517,000000,0.7425500,0.7443700,0.7384000,0.7429600,1469498
AUDUSD,D,20170518,000000,0.7429900,0.7467000,0.7404000,0.7417300,1689880
AUDUSD,D,20170519,000000,0.7418100,0.7469900,0.7402000,0.7456100,1259736
AUDUSD,D,20170520,000000,0.7450000,0.7459000,0.7450000,0.7455000,8
AUDUSD,D,20170521,000000,0.7460000,0.7463000,0.7444000,0.7449000,468
AUDUSD,D,20170522,000000,0.7451100,0.7488700,0.7431000,0.7475200,1088611
AUDUSD,D,20170523,000000,0.7473000,0.7517300,0.7462000,0.7474700,1313967
AUDUSD,D,20170524,000000,0.7474700,0.7507700,0.7438000,0.7500400,1325084
AUDUSD,D,20170525,000000,0.7502000,0.7516000,0.7446000,0.7453500,1287176
AUDUSD,D,20170526,000000,0.7451900,0.7461300,0.7417000,0.7445900,1265764
